Name,Club,Games,Tries,Try Assists,Points,Possessions,Runs,Run Metres,Pick & Drives,Linebreaks,LB Assists,Tackle Busts,Offloads,Passes,Lineout Wins Own,Lineout Wins Opp,Kicks,Kick Metres,Kick Errors
H. Andrews,SHA,7,1,0,5,26,7,68,0,2,0,0,0,30,17,3,0,0,0
C. Burden,SHA,7,0,0,0,13,4,13,1,0,0,1,1,6,0,0,0,0,0
J. Campbell,RED,7,1,2,32,74,35,412,0,8,4,17,2,21,0,0,14,398,2
M. Duffie,BLU,7,0,2,0,60,32,243,1,2,2,4,3,20,0,0,5,84,1
A. Esterhuizen,SHA,7,2,2,10,84,40,284,0,2,4,13,4,31,0,0,9,285,0
T. Faiane,BLU,7,0,5,0,98,45,278,1,4,3,8,4,49,0,0,5,76,1
A. Fassi,SHA,7,3,2,15,116,55,619,0,8,0,22,3,21,0,0,29,964,0
I. Lucas,RED,7,2,3,10,121,30,177,0,4,4,9,3,79,0,0,11,490,0
A. Mafi,RED,7,1,0,5,65,36,222,1,3,1,4,2,25,0,0,0,0,0
S. Mafileo,BLU,7,0,0,0,22,16,50,2,0,0,1,0,5,0,0,0,0,0
T. McDermott,RED,7,5,4,25,361,22,127,0,3,6,7,2,321,0,0,12,258,1
O. Nche,SHA,7,0,1,0,40,24,121,2,0,2,4,3,18,0,0,0,0,0
S. Nock,BLU,7,0,0,0,286,11,113,1,1,1,2,4,266,0,0,11,349,1
S. Nohamba,SHA,7,1,0,10,206,10,90,0,2,1,2,1,167,0,0,22,430,1
S. Notshe,SHA,7,1,1,5,78,50,345,4,5,2,17,3,24,3,0,1,0,0
S. Perofeta,BLU,7,2,3,21,188,51,353,1,4,8,17,3,106,0,0,31,1081,2
H. Plummer,BLU,7,0,0,10,51,12,73,0,0,1,5,0,23,0,0,12,318,2
L. Roets,SHA,7,0,0,0,19,16,60,2,0,0,2,2,5,2,0,0,0,0
J. Ruru,BLU,7,0,1,0,276,16,49,2,0,2,3,4,231,0,0,23,506,2
L. Salakaia-Loto,RED,7,2,0,10,71,52,279,3,6,1,9,9,36,18,2,0,0,0
L. Schreuder,SHA,7,0,1,0,251,1,13,0,0,3,0,0,218,0,0,29,573,1
H. Speight,RED,7,3,4,15,75,51,512,0,6,2,11,8,21,0,0,2,51,0
H. Stewart,RED,7,1,0,5,78,35,286,0,3,6,2,2,32,0,0,8,263,0
M. Telea,BLU,7,5,1,25,91,64,729,4,5,1,47,7,23,0,0,0,0,0
T. Tupou,RED,7,3,2,15,56,35,194,6,7,3,12,4,18,0,0,0,0,0
R. Van Heerden,SHA,7,0,0,0,54,37,163,2,0,0,7,1,21,16,0,0,0,0
K. van Vuuren,SHA,7,2,1,10,31,19,94,1,1,0,3,2,12,0,0,0,0,0
H. Wilson,RED,7,2,1,10,138,88,486,11,6,2,11,11,52,2,0,3,51,1
L. Wright,RED,7,3,0,15,61,36,153,5,1,2,7,5,26,4,0,0,0,0
N. Ah Kuoi,CHI,6,0,0,0,20,15,50,3,0,0,2,2,9,3,2,0,0,0
A. Ala'alatoa,BRU,6,0,2,0,54,31,121,1,1,2,3,1,20,0,0,0,0,0
L. Am,SHA,6,1,1,5,53,20,161,0,0,0,9,3,26,0,0,3,101,0
V. Aso,HUR,6,1,3,5,53,21,186,1,3,6,6,7,29,0,0,3,162,0
A. Aumua,HUR,6,1,1,5,35,26,204,1,2,1,9,2,8,0,0,0,0,0
T. Banks,BRU,6,4,3,22,88,52,489,0,7,3,13,3,25,0,0,3,95,0
K. Beale,WAR,6,1,2,5,145,37,393,0,4,6,7,4,76,0,0,25,996,0
A. Bell,WAR,6,1,0,5,44,29,171,1,3,1,5,2,12,0,0,0,0,0
A. Blyth,RED,6,0,0,0,25,12,67,0,1,0,0,0,18,7,1,0,0,0
E. Boffelli,JAG,6,3,2,15,75,37,379,1,8,1,13,4,27,0,0,5,240,0
C. Bosch,SHA,6,1,3,86,163,18,131,0,0,2,3,1,87,0,0,58,1834,1
G. Bower,CRU,6,0,1,0,26,18,69,0,0,1,2,0,8,0,0,0,0,0
J. Bregvadze,SUN,6,2,0,10,27,16,49,0,0,0,0,1,8,0,0,1,29,0
R. Bruni,JAG,6,2,0,10,61,42,227,1,2,1,5,2,17,0,0,1,30,0
J. Campher,LIO,6,0,0,0,20,11,102,0,3,0,1,2,6,0,0,0,0,0
T. Christie,CRU,6,2,0,10,53,28,149,2,1,1,2,1,20,1,0,0,0,0
A. Cottrell,REB,6,2,0,10,34,23,123,2,3,0,7,2,15,6,2,0,0,0
J. Dempsey,WAR,6,2,0,10,58,38,216,5,2,1,13,3,25,12,0,2,67,0
M. Douglas,BRU,6,0,1,0,38,27,74,2,0,1,0,2,27,24,0,0,0,0
T. du Toit,SHA,6,0,0,0,31,20,98,1,0,0,0,2,10,0,0,0,0,0
M. Dunshea,CRU,6,0,0,0,47,33,239,1,2,0,5,1,22,17,4,0,0,0
K. Eklund,BLU,6,0,0,0,30,22,106,1,0,0,5,1,8,0,0,0,0,0
G. Evans,HUR,6,1,1,5,67,33,206,0,1,3,3,3,43,11,2,1,2,0
T. Faulkner,WAR,6,1,0,5,15,11,40,0,1,0,3,0,1,0,0,0,0,0
S. Fifita,SUN,6,2,0,10,54,37,364,2,7,0,12,4,13,0,0,1,28,0
V. Fifita,HUR,6,0,1,0,42,32,175,2,2,2,5,7,26,9,3,1,26,0
D. Fitzpatrick,WAR,6,0,1,0,30,12,69,1,2,1,0,1,14,0,0,0,0,0
D. Flanders,HUR,6,0,0,0,9,6,51,0,1,0,3,0,5,3,0,0,0,0
L. Foketi,WAR,6,1,0,5,32,17,161,0,2,0,7,0,8,0,0,2,31,0
W. Gelant,BUL,6,3,1,15,137,38,296,0,2,8,11,8,65,0,0,29,1202,1
B. Gibson,BLU,6,1,0,5,24,11,60,1,1,0,5,0,12,7,1,1,19,0
L. Gqoboka,BUL,6,0,0,0,23,20,99,1,0,0,3,0,1,0,0,0,0,0
C. Grace,CRU,6,0,0,0,39,30,191,3,2,0,2,3,22,19,3,0,0,0
T. Green,LIO,6,2,0,10,69,44,398,1,4,1,16,5,23,0,0,3,109,0
R. Hardwick,REB,6,1,1,5,41,24,147,0,1,1,6,6,18,0,0,0,0,0
W. Harrison,WAR,6,0,1,29,185,39,324,0,3,1,18,4,109,0,0,38,1078,2
D. Haylett-Petty,REB,6,3,2,15,104,47,472,0,3,4,16,3,22,0,0,25,1073,1
R. Haylett-Petty,REB,6,0,0,0,19,10,42,2,0,0,0,1,16,12,2,0,0,0
B. Hegarty,RED,6,1,0,37,48,14,93,0,1,0,3,3,20,0,0,13,419,0
W. Herbst,BUL,6,0,0,0,11,9,25,0,0,0,0,0,1,0,0,0,0,0
J. Holloway,WAR,6,0,1,0,31,17,91,0,0,1,0,0,17,4,1,0,0,0
M. Hooper,WAR,6,0,2,0,93,50,238,13,2,4,12,4,38,0,0,1,9,0
K. Hunt,WAR,6,0,1,0,90,31,244,0,0,5,6,9,63,0,0,7,85,0
P. Jansen,LIO,6,0,0,0,18,13,72,0,1,0,1,0,1,0,0,0,0,0
E. Jantjies,LIO,6,1,2,42,229,33,277,0,3,2,8,2,140,0,0,49,1793,0
S. Kata,BRU,6,5,1,25,50,31,283,1,3,2,15,2,13,0,0,1,10,0
A. Kellaway,REB,6,7,1,35,57,31,383,0,9,0,8,4,16,0,0,5,138,1
D. Kirifi,HUR,6,0,0,0,63,28,163,1,1,1,3,1,25,0,0,0,0,0
S. Kitshoff,STO,6,1,0,5,51,41,186,1,3,0,7,0,4,0,0,0,0,0
M. Koroibete,REB,6,2,0,10,59,34,319,2,4,1,11,9,28,0,0,2,60,0
J. Kotze,BUL,6,0,0,0,62,34,362,0,6,2,14,0,20,0,0,2,15,1
M. Kremer,JAG,6,1,0,5,65,54,235,3,1,1,4,1,7,4,0,0,0,0
D. Kriel,LIO,6,2,0,10,70,41,248,0,2,2,8,3,29,0,0,1,27,0
T. Kuridrani,BRU,6,1,1,5,60,51,371,0,2,1,7,4,11,0,0,3,59,1
B. Lam,HUR,6,5,0,25,52,37,472,0,4,2,11,6,10,0,0,3,65,1
N. Laumape,HUR,6,2,1,10,98,44,443,0,5,3,15,6,41,0,0,8,178,0
R. Leota,REB,6,0,0,0,18,10,44,2,0,0,2,0,8,2,0,0,0,0
D. Leyds,STO,6,0,1,0,92,31,299,1,2,2,7,5,50,0,0,8,357,0
T. Lezana,JAG,6,0,0,0,47,29,140,2,0,0,6,0,20,3,1,2,29,0
N. Lolesio,BRU,6,0,3,32,175,35,232,0,1,5,17,6,102,0,0,34,953,4
R. Lonergan,BRU,6,1,0,22,146,3,22,0,0,1,0,0,124,0,0,15,456,0
W. Louw,STO,6,0,0,0,5,4,18,0,0,0,1,0,1,0,0,0,0,0
J. Maddocks,WAR,6,0,1,0,66,30,310,0,4,3,5,7,27,0,0,11,524,0
F. Malherbe,STO,6,0,0,0,10,7,23,0,0,0,0,0,1,0,0,0,0,0
M. Mapimpi,SHA,6,5,1,25,33,23,332,0,3,0,11,0,7,0,0,3,85,0
J. Marchant,BLU,6,3,1,15,58,30,298,1,3,2,16,3,22,0,0,3,73,0
L. Massyn,LIO,6,0,1,0,37,29,225,1,0,1,4,2,17,19,0,1,35,0
C. McInerney,BRU,6,0,0,0,49,32,103,1,0,0,4,0,14,0,0,0,0,0
B. Meakes,REB,6,1,1,5,84,44,313,0,3,1,16,1,31,0,0,2,53,0
J. Meyer,SHA,6,0,0,0,8,5,21,0,0,1,0,0,3,0,0,0,0,0
W. Miller,BRU,6,1,0,5,43,15,79,0,1,1,6,1,21,1,0,0,0,0
D. Miotti,JAG,6,1,3,46,175,17,88,0,1,8,7,1,99,0,0,47,1509,0
S. Moerat,STO,6,0,0,0,15,12,30,1,0,0,0,1,13,14,1,0,0,0
J. Montoya,JAG,6,3,0,15,32,13,46,1,0,0,2,1,11,0,0,0,0,0
K. Moriya,SUN,6,1,2,5,63,11,72,0,2,3,1,1,34,0,0,15,417,1
M. Moroni,JAG,6,3,0,15,44,25,223,2,3,2,8,6,13,0,0,4,63,0
I. Naisarani,REB,6,2,0,10,92,74,453,9,5,2,20,5,20,2,0,0,0,0
A. Nankivell,CHI,6,0,0,0,55,31,193,0,0,1,5,1,22,0,0,2,71,1
R. Nel,STO,6,2,0,10,46,29,250,0,4,1,8,4,15,0,0,2,70,0
C. Neville,BRU,6,1,0,5,39,23,109,2,1,0,5,1,22,28,2,0,0,0
A. Newsome,WAR,6,1,1,5,60,33,274,0,2,2,7,4,24,0,0,3,103,0
R. Nortje,BUL,6,0,0,0,26,17,55,0,0,0,1,0,9,19,1,0,0,0
S. Ntubeni,STO,6,1,0,5,26,14,61,0,0,0,0,0,10,0,0,0,0,0
T. Nyakane,BUL,6,0,0,0,16,13,71,1,1,0,1,0,1,0,0,0,0,0
J. O'Connor,RED,6,1,3,5,183,43,316,0,3,9,16,9,111,0,0,34,1240,2
M. Orie,LIO,6,0,0,0,54,33,104,0,0,1,1,0,32,26,4,0,0,0
C. Orr,REB,6,0,0,0,18,12,55,1,0,0,1,1,4,0,0,0,0,0
H. Paisami,RED,6,1,0,5,66,47,383,0,4,1,16,7,15,0,0,3,85,0
D. Papali'i,BLU,6,1,0,5,34,21,128,1,2,0,7,5,15,8,0,0,0,0
E. Papier,BUL,6,1,1,5,208,9,112,0,3,1,7,1,181,0,0,15,397,2
T. Paul,SHA,6,1,0,5,64,41,182,0,1,0,4,1,16,4,2,1,8,0
L. Paulos,JAG,6,0,0,0,30,18,75,2,0,0,0,0,6,6,0,0,0,0
T. Perenara,HUR,6,1,1,5,348,15,91,0,3,2,2,2,299,0,0,28,645,2
S. Petersen,STO,6,3,1,15,43,20,212,0,5,1,4,1,15,0,0,5,57,1
G. Petti,JAG,6,1,0,5,48,32,164,5,1,0,7,0,26,34,5,0,0,0
M. Philip,REB,6,0,0,0,69,52,221,2,1,1,3,5,31,27,5,1,23,0
J. Powell,BRU,6,2,2,10,351,11,78,1,1,3,3,0,306,0,0,21,553,1
A. Rangi,REB,6,3,0,15,48,33,127,2,3,0,4,0,7,0,0,0,0,0
S. Reece,CRU,6,4,1,20,76,41,345,1,6,2,14,11,30,0,0,4,119,0
J. Roberts,STO,6,0,0,0,61,42,238,0,0,2,9,6,18,0,0,1,58,0
T. Robinson,BLU,6,1,0,5,51,41,216,5,2,0,6,1,17,15,2,0,0,0
L. Romano,CRU,6,2,0,10,48,36,156,4,2,0,5,0,12,7,1,0,0,0
A. Ross,CHI,6,1,0,5,27,20,67,4,1,0,5,0,5,0,0,0,0,0
C. Sadie,LIO,6,0,0,0,33,29,121,0,0,0,3,0,4,0,0,0,0,0
N. Saito,SUN,6,0,1,0,193,1,12,0,0,1,0,0,181,0,0,5,145,0
P. Samu,BRU,6,2,0,10,48,27,244,3,5,0,13,2,26,9,0,0,0,0
T. Sanders,CRU,6,0,1,0,86,62,333,2,2,0,10,5,25,4,1,0,0,0
J. Schatz,SUN,6,0,0,0,63,40,173,2,0,0,1,1,25,4,0,0,0,0
M. Schoeman,LIO,6,3,0,15,81,42,165,4,1,0,8,1,26,1,0,0,0,0
J. Sclavi,JAG,6,0,0,0,16,13,50,1,0,0,0,0,3,0,0,0,0,0
A. Scott-Young,RED,6,0,0,0,47,36,151,2,0,1,5,3,21,13,0,0,0,0
S. Senatla,STO,6,1,0,5,49,22,185,0,2,3,4,2,17,0,0,8,164,2
S. Sithole,LIO,6,1,0,5,20,12,29,1,1,0,2,1,7,0,0,0,0,0
J. Slipper,BRU,6,0,1,0,49,36,152,3,0,1,4,1,13,0,0,0,0,0
D. Smith,LIO,6,0,0,0,30,25,87,1,0,0,0,1,5,0,0,0,0,0
F. Smith,HUR,6,1,0,17,81,13,102,0,2,5,4,4,56,0,0,11,442,0
JP. Smith,RED,6,0,0,0,35,28,99,3,0,0,0,0,6,0,0,0,0,0
H. Sotutu,BLU,6,1,1,5,95,59,492,10,7,1,20,8,37,3,1,2,41,0
R. Specman,BUL,6,4,1,20,75,36,476,1,10,1,14,8,30,0,0,7,226,0
T. Staniforth,WAR,6,0,0,0,67,44,178,4,0,0,4,3,25,6,0,0,0,0
M. Steyn,BUL,6,1,2,40,120,6,28,0,1,4,0,1,77,0,0,34,1171,0
M. Stolberg,SUN,6,2,0,10,39,23,148,2,3,1,5,2,35,34,3,1,23,0
J. Strauss,BUL,6,0,0,0,47,36,205,2,0,1,5,5,15,1,0,0,0,0
L. Swinton,WAR,6,1,0,5,67,44,257,1,2,0,4,0,28,14,1,0,0,0
S. Taukei'aho,CHI,6,2,0,10,56,45,161,11,1,0,6,1,8,0,0,0,0,0
K. Tu'inukuafe,BLU,6,1,0,5,38,28,120,4,1,0,3,1,9,0,0,0,0,0
P. Tuipulotu,BLU,6,1,0,5,51,37,176,3,1,0,7,1,20,12,2,0,0,0
O. Tu'ungafasi,BLU,6,0,0,0,30,25,97,3,0,0,5,0,5,0,0,0,0,0
R. Valetini,BRU,6,1,1,5,55,42,277,3,2,0,14,3,17,2,0,0,0,0
M. van den Berg,LIO,6,0,1,0,231,16,62,0,0,1,5,3,207,0,0,5,64,2
W. van der Sluys,LIO,6,0,0,0,18,11,39,0,0,0,0,0,8,6,0,0,0,0
E. Van Rhyn,STO,6,0,0,0,16,11,69,0,1,0,2,0,5,3,0,0,0,0
C. Van Vuuren,SUN,6,0,0,0,25,21,52,5,0,0,2,0,4,0,0,0,0,0
H. van Wyk,SUN,6,0,0,0,18,12,57,1,1,0,3,0,2,0,0,0,0,0
I. van Zyl,BUL,6,0,0,0,207,4,15,0,0,0,0,1,187,0,0,11,271,0
H. Venter,SHA,6,0,0,0,22,16,102,3,0,0,0,1,9,3,0,0,0,0
J. Venter,SHA,6,1,0,5,50,33,228,2,1,0,6,1,16,1,0,0,0,0
J. Visagie,BUL,6,1,1,5,21,13,60,1,1,0,1,1,7,0,0,0,0,0
M. Vivas,JAG,6,0,0,0,19,12,46,0,0,0,1,0,6,0,0,0,0,0
M. Wells,REB,6,0,0,0,25,16,116,1,2,0,2,0,6,0,0,0,0,0
D. Willemse,STO,6,1,2,41,144,33,326,0,1,4,16,2,60,0,0,41,1360,1
K. Yatabe,SUN,6,0,0,0,24,21,51,2,0,0,2,0,6,5,1,0,0,0
R. Abel,WAR,5,0,0,0,39,18,56,5,0,1,0,2,18,0,0,0,0,0
J. Adams,SUN,5,0,1,0,24,18,107,3,2,1,4,1,4,0,0,0,0,0
J. Ainsley,REB,5,0,0,0,21,13,63,1,0,0,2,0,6,0,0,0,0,0
M. Ala'alatoa,CRU,5,0,1,0,46,30,99,1,0,2,5,1,15,0,0,0,0,0
S. Alaimalo,CHI,5,4,1,20,51,33,345,3,4,1,12,6,20,0,0,2,72,0
G. April,SUN,5,3,0,34,157,27,301,0,4,2,7,9,106,0,0,29,925,3
J. Augustus,STO,5,2,2,10,29,20,126,2,4,1,9,2,11,0,0,0,0,0
J. Barrett,HUR,5,0,2,42,119,38,301,0,1,3,15,5,35,0,0,40,1502,1
T. Ben-Nicholas,HIG,5,1,0,5,19,12,40,0,1,0,4,0,6,4,0,0,0,0
J. Blackwell,HUR,5,0,0,0,35,21,101,0,2,0,2,0,14,9,0,0,0,0
J. Booth,HUR,5,1,0,5,117,5,96,0,1,1,1,0,101,0,0,10,181,2
L. Boshier,CHI,5,3,0,15,47,25,139,1,2,0,7,0,21,8,0,0,0,0
G. Bridge,CRU,5,3,2,15,94,61,518,0,4,4,21,7,32,0,0,3,79,0
M. Brown,CHI,5,0,0,0,23,13,49,0,0,0,0,0,18,13,3,1,13,0
B. Cameron,CRU,5,0,0,10,64,7,40,0,0,1,0,1,46,0,0,5,180,1
S. Cane,CHI,5,0,0,0,48,25,98,0,0,0,3,1,23,2,0,0,0,0
S. Chocobares,JAG,5,0,0,0,14,7,34,0,0,0,5,0,3,0,0,0,0,0
A. Coetzee,LIO,5,1,0,7,82,37,304,0,2,0,15,4,32,0,0,10,484,0
J. Coetzee,STO,5,0,0,0,37,26,173,3,1,2,13,4,9,1,0,0,0,0
M. Collins,HIG,5,2,0,10,50,33,286,0,2,0,8,5,15,0,0,8,158,1
L. Coltman,HIG,5,0,0,0,20,15,60,1,0,0,1,1,3,0,0,0,0,0
A. Cruden,CHI,5,1,1,39,97,23,147,0,1,4,6,4,54,0,0,22,718,0
J. Dargaville,SUN,5,1,1,5,51,33,353,0,1,2,11,1,10,0,0,5,144,0
H. Dayimani,LIO,5,0,1,0,23,17,105,0,2,1,9,2,11,4,0,1,0,0
A. Dixon,HIG,5,0,0,0,29,21,56,1,0,0,2,0,7,0,0,0,0,0
J. Downey,SUN,5,0,0,0,45,38,139,12,0,0,3,0,9,4,0,0,0,0
M. Drummond,CRU,5,0,1,2,184,5,29,0,0,0,1,6,166,0,0,12,255,0
J. du Plessis,STO,5,0,0,2,34,6,41,0,0,1,1,1,18,0,0,8,256,0
J. du Toit,STO,5,0,1,0,15,15,63,1,0,1,2,1,4,4,0,0,0,0
P. du Toit,STO,5,0,0,0,37,30,136,5,0,0,4,1,14,14,0,0,0,0
J. Engelbrecht,SUN,5,0,0,0,27,12,109,0,1,0,3,2,12,0,0,2,28,0
B. Ennor,CRU,5,4,2,20,52,23,264,0,5,4,11,4,22,0,0,4,44,1
L. Fainga'anuku,CRU,5,2,0,10,46,33,337,4,5,0,17,7,11,0,0,3,91,0
C. Feauai-Sautia,RED,5,3,0,15,45,34,274,0,4,0,13,5,11,0,0,1,21,0
A. Fidow,HUR,5,1,0,5,20,16,89,1,1,1,1,3,6,0,0,0,0,0
R. Geldenhuys,CHI,5,0,0,0,7,5,18,0,0,0,1,0,2,0,0,0,0,0
M. Gibbon,REB,5,0,0,0,23,16,43,2,0,0,1,1,6,0,0,0,0,0
J. Goodhue,CRU,5,1,3,5,81,36,288,1,3,6,11,11,47,0,0,4,73,0
W. Goosen,HUR,5,1,0,5,40,27,246,0,3,0,10,0,5,0,0,1,45,0
B. Hall,CRU,5,0,2,4,271,7,17,1,0,3,0,0,242,0,0,21,490,0
C. Hendricks,BUL,5,2,0,10,48,27,262,0,3,0,9,1,13,0,0,5,106,0
H. Hockings,RED,5,0,0,0,48,25,101,0,1,0,0,5,38,16,3,0,0,0
M. Hunt,HIG,5,0,2,5,119,18,101,0,1,5,6,1,61,0,0,32,907,1
J. Ioane,HIG,5,1,1,33,59,19,110,2,2,3,4,2,29,0,0,10,231,0
M. Jacobson,SUN,5,0,0,0,31,23,138,1,1,0,2,3,9,2,0,0,0,0
O. Jager,CRU,5,0,0,0,13,11,54,0,0,0,0,0,2,0,0,0,0,0
H. Jantjies,STO,5,3,1,15,275,12,135,0,1,0,5,1,228,0,0,30,666,3
H. Johnson-Holmes,WAR,5,1,0,5,24,15,55,7,1,0,5,0,8,0,0,0,0,0
A. Johnstone,HIG,5,0,0,0,11,5,10,0,0,0,2,0,3,0,0,0,0,0
M. Karpik,CHI,5,0,0,0,32,17,74,3,0,0,1,0,15,4,0,1,9,0
G. Koegelenberg,REB,5,0,0,0,27,18,57,2,0,0,1,0,12,6,0,0,0,0
M. Libbok,BUL,5,0,1,10,73,14,91,0,1,3,4,2,51,0,0,8,235,2
A. Lienert-Brown,CHI,5,2,0,10,64,44,259,0,4,0,10,7,26,0,0,1,21,0
D. Lienert-Brown,HIG,5,0,0,0,6,3,9,1,0,0,0,0,1,0,0,0,0,0
F. Lomani,REB,5,1,0,9,137,10,74,0,1,0,1,0,118,0,0,4,33,2
T. Lomax,HUR,5,0,0,0,16,12,54,1,0,0,2,0,3,0,0,0,0,0
R. Louwrens,REB,5,0,2,0,323,18,139,1,2,2,4,4,284,0,0,20,466,1
E. Ma'afu,SUN,5,1,0,5,34,23,98,3,0,0,1,1,11,0,0,0,0,0
G. Masimla,STO,5,1,0,5,72,4,19,0,0,0,2,2,62,0,0,5,101,1
R. McCauley,WAR,5,0,0,0,9,3,13,0,0,0,1,0,11,6,0,0,0,0
J. McKay,HIG,5,1,0,5,45,24,170,1,3,0,6,0,10,0,0,7,222,1
S. Medrano,JAG,5,0,0,0,15,13,30,0,0,0,1,0,2,0,0,0,0,0
M. Mikaele-Tu'u,HIG,5,0,0,0,49,35,331,2,4,1,9,4,24,13,1,0,0,0
A. Moli,CHI,5,0,0,0,26,22,77,3,0,0,3,1,5,0,0,0,0,0
